User_id,time,action,destination,hotel
2.02E+18,0:01:23,Click,London,Travelodge London Waterloo
2.02E+18,0:00:03,Click,London,Travelodge London Waterloo
2.02E+18,0:04:46,Click,London,Corinthia London
2.02E+18,0:01:28,Click,London,Travelodge London Waterloo
2.02E+18,0:01:38,Click,London,Travelodge London Waterloo
2.02E+18,0:00:06,Homepage,,
2.02E+18,0:43:33,Homepage,,
2.02E+18,0:00:06,Homepage,,
2.02E+18,0:00:17,Homepage,,
2.02E+18,0:00:15,Homepage,,
2.02E+18,0:01:10,Click,Berlin,SANA Berlin
2.02E+18,0:00:03,Homepage,,
2.02E+18,0:01:06,Click,Valladolid,Silken Juan de Austria
2.02E+18,0:21:35,Search,Cantabria,
2.02E+18,0:03:56,Click,Valladolid,Silken Juan de Austria
2.02E+18,0:22:15,Search,Cantabria,
2.02E+18,0:10:35,Homepage,,
2.02E+18,0:22:18,Search,Cantabria,
2.02E+18,0:21:37,Search,Cantabria,
2.02E+18,0:05:09,Click,Polichrono,Kopsis Beach
2.02E+18,0:04:55,Click,Polichrono,Kopsis Beach
2.02E+18,0:06:10,Click,Polichrono,Medusa
2.02E+18,0:02:06,Click,Polichrono,Kopsis Beach
2.02E+18,0:08:13,Click,Polichrono,Kassandra Bay
2.02E+18,0:09:23,Click,Polichrono,Marabou
2.02E+18,0:00:14,Click,Polichrono,Alexander the Great
2.02E+18,0:01:50,Click,Venice,Hotel Danieli
2.02E+18,0:00:23,Click,Venice,Centurion Palace
2.02E+18,0:03:24,Click,Venice,Ca' Sagredo
2.02E+18,0:18:53,Search,Ireland,
2.02E+18,0:00:04,Search,Ireland,
2.02E+18,0:00:50,Search,Ireland,
2.02E+18,0:09:32,Click,Ireland,Tara
2.02E+18,0:00:38,Search,Ireland,
2.02E+18,0:03:56,Click,Ireland,Dooley's Waterford
2.02E+18,0:06:25,Click,Ireland,Gallaghers
2.02E+18,0:04:33,Click,Benidorm,SH Villa Gadea
2.02E+18,0:04:43,Click,Benidorm,SH Villa Gadea
2.02E+18,0:06:08,Click,Benidorm,SH Villa Gadea
2.02E+18,0:06:12,Click,Benidorm,SH Villa Gadea
2.02E+18,0:04:30,Click,Benidorm,SH Villa Gadea
2.02E+18,0:02:22,Click,Benidorm,SH Villa Gadea
2.02E+18,0:05:29,Click,Benidorm,SH Villa Gadea
2.02E+18,0:03:48,Click,Boltenhagen (close to Lübeck),Upstalsboom Urlauberdorf Boltenhagen
2.02E+18,0:04:21,Click,Boltenhagen (close to Lübeck),Iberotel Boltenhagen
2.02E+18,0:05:02,Click,Boltenhagen (close to Lübeck),Iberotel Boltenhagen
2.02E+18,0:01:16,Click,Timmendorfer Strand,Maritim Clubhotel Timmendorfer Strand
2.02E+18,0:03:27,Click,Boltenhagen (close to Lübeck),Iberotel Boltenhagen
2.02E+18,0:20:16,Click,Olhos de Agua,Epic Sana Algarve
2.02E+18,0:05:43,Click,Olhos de Agua,Epic Sana Algarve
2.02E+18,0:08:36,Click,Olhos de Agua,Epic Sana Algarve
2.02E+18,0:11:57,Click,Olhos de Agua,Epic Sana Algarve
2.02E+18,0:00:05,Click,Olhos de Agua,Epic Sana Algarve
2.02E+18,0:03:12,Click,Olhos de Agua,Epic Sana Algarve
2.02E+18,0:07:35,Click,Olhos de Agua,Epic Sana Algarve
2.02E+18,0:08:21,Click,Olhos de Agua,Epic Sana Algarve
2.02E+18,0:15:33,Click,Olhos de Agua,Epic Sana Algarve
2.02E+18,0:12:17,Click,Tossa de Mar,Parkhotel
2.02E+18,0:04:33,Click,Tossa de Mar,Med Playa San Eloy
2.02E+18,0:06:56,Click,Tossa de Mar,SM Turissa
2.02E+18,0:07:22,Click,Tossa de Mar,SM Turissa
2.02E+18,0:15:10,Click,Tossa de Mar,Oasis Tossa & Spa
2.02E+18,0:20:55,Click,Tossa de Mar,GHT Neptuno
2.02E+18,0:17:14,Click,Tossa de Mar,Oasis Tossa & Spa
2.02E+18,0:03:17,Click,Tossa de Mar,GHT Neptuno
2.02E+18,0:13:26,Click,Tossa de Mar,Novopark
2.02E+18,0:02:04,Click,Binz,Strandhotel Binz
2.02E+18,0:00:05,Homepage,,
2.02E+18,0:07:32,Click,Binz,Rugard Strandhotel
2.02E+18,0:00:13,Click,Brooklyn,Best Western Plus Prospect Park
2.02E+18,0:00:34,Click,Brooklyn,Best Western Plus Prospect Park
2.02E+18,0:18:15,Click,Brooklyn,Best Western Plus Prospect Park
2.02E+18,0:01:42,Click,Brooklyn,Best Western Plus Prospect Park
2.02E+18,0:01:04,Click,Brooklyn,Best Western Plus Prospect Park
2.02E+18,0:00:05,Click,Brooklyn,Best Western Plus Prospect Park
2.02E+18,0:04:38,Click,Brooklyn,Best Western Plus Prospect Park
2.02E+18,0:04:59,Click,Brooklyn,Best Western Plus Prospect Park
2.02E+18,0:00:27,Click,Baqueira,Parador de Artíes
2.02E+18,0:00:05,Click,Baqueira,Val De Ruda
2.02E+18,0:02:11,Click,Baqueira,Husa Tuca
2.02E+18,0:03:55,Click,Baqueira,Husa Tuca
2.02E+18,0:00:15,Click,Baqueira,Montarto
2.02E+18,0:00:39,Click,Baqueira,Vilagaros
2.02E+18,0:01:24,Click,Baqueira,Sol Vielha
2.02E+18,0:03:58,Click,Aix-les-Bains,ResidHotel L'Azuréa
2.02E+18,0:05:12,Click,Aix-les-Bains,Logis Grand Hôtel du Parc
2.02E+18,0:01:33,Click,Aix-les-Bains,Ibis Styles Aix-les-Bains Domaine de Marlioz
2.02E+18,0:05:35,Click,Aix-les-Bains,Logis Grand Hôtel du Parc
2.02E+18,0:03:19,Click,Aix-les-Bains,Revotel
2.02E+18,0:03:05,Click,Bilbao,Bilbao Aterpetxea
2.02E+18,0:01:12,Click,Bilbao,Sercotel Gran Bilbao
2.02E+18,0:03:41,Click,Bilbao,Sercotel Gran Bilbao
2.02E+18,0:04:26,Click,Rome,All Seasons
2.02E+18,0:02:43,Click,Rome,Romebed
2.02E+18,0:00:06,Click,Rome,Bellambriana
2.02E+18,0:01:23,Click,Rome,Bellambriana
2.02E+18,0:04:41,Click,Guyana,Le Meridien Pegasus Guyana
2.02E+18,0:06:01,Click,Guyana,Le Meridien Pegasus Guyana
2.02E+18,0:09:15,Search,Guyana,
2.02E+18,0:01:03,Click,Guyana,Le Meridien Pegasus Guyana
2.02E+18,0:01:16,Click,Izmir,Orty Airport
2.02E+18,0:03:06,Click,Izmir,Orty Airport
2.02E+18,0:01:34,Click,Izmir,Key
2.02E+18,0:01:24,Click,Izmir,Orty Airport
2.02E+18,0:00:19,Click,Izmir,Orty Airport
2.02E+18,0:07:03,Click,Solaris,Solaris Jure
2.02E+18,0:06:12,Click,Solaris,Solaris Niko
2.02E+18,0:00:35,Click,Solaris,Solaris Jakov
2.02E+18,0:04:53,Click,Solaris,Solaris Jakov
2.02E+18,0:07:44,Click,Solaris,Solaris Jakov
2.02E+18,0:18:15,Click,Valencia,Senator Parque Central
2.02E+18,0:15:54,Click,Valencia,Senator Parque Central
2.02E+18,0:17:12,Click,Valencia,Senator Parque Central
2.02E+18,0:02:32,Click,Tarifa,Alameda
2.02E+18,0:01:08,Click,Tarifa,El Asturiano
2.02E+18,0:00:06,Click,Tarifa,La Estrella de Tarifa
2.02E+18,0:01:46,Click,Tarifa,Posada La Sacristia
2.02E+18,0:03:40,Click,Tarifa,El Asturiano
2.02E+18,0:01:58,Click,Tarifa,Mesón de Sancho
2.02E+18,0:20:08,Click,Calcatoggio,Sole E Monte
2.02E+18,0:17:38,Click,Calcatoggio,Marina di Lava
2.02E+18,0:04:27,Click,Piana,Restaurant La Chataigneraie
2.02E+18,0:06:26,Click,Piana,Restaurant La Chataigneraie
2.02E+18,0:17:35,Click,Calcatoggio,Le Riviera
2.02E+18,0:17:24,Click,Calcatoggio,Le Narval
2.02E+18,0:17:30,Click,Calcatoggio,Sole E Monte
2.02E+18,0:00:49,Click,Ajaccio,Impérial
2.02E+18,0:04:33,Click,Piana,Cinque Arcate
2.02E+18,0:00:46,Click,Ajaccio,Impérial
2.02E+18,0:09:26,Click,London,NH London Kensington
2.02E+18,0:04:21,Click,London,Sloane Square
2.02E+18,0:01:23,Click,London,Park Avenue Belgravia
2.02E+18,0:08:40,Click,Berlin Vicinity,Winters Berlin Mitte The Wall at Checkpoint Charlie
2.02E+18,0:07:44,Click,Berlin Vicinity,Inselhotel Potsdam-Hermannswerder
2.02E+18,0:05:38,Click,Berlin Vicinity,Bayrisches Haus Potsdam
2.02E+18,0:02:53,Click,Berlin,Abion Villa
2.02E+18,0:09:53,Click,Berlin Vicinity,Bayrisches Haus Potsdam
2.02E+18,0:09:06,Click,Berlin Vicinity,Romantik Hotel Am Jägertor
2.02E+18,0:02:00,Click,Berlin,i31
2.02E+18,0:07:22,Click,Berlin Vicinity,Schloss & Gut Liebenberg
2.02E+18,0:02:20,Click,Berlin,Radisson Blu Berlin
2.02E+18,0:01:51,Click,Amsterdam,Holiday Inn Amsterdam
2.02E+18,0:15:36,Click,,Hotels Flipper
2.02E+18,0:00:17,Click,Amsterdam,Hotels Flipper
2.02E+18,0:03:33,Click,Amsterdam,CitizenM Amsterdam Airport
2.02E+18,0:08:37,Click,,New West Inn
2.02E+18,0:14:11,Click,,Acostar Hôtel
2.02E+18,0:01:09,Click,Amsterdam,Holiday Inn Amsterdam
2.02E+18,0:09:17,Click,,New West Inn
2.02E+18,0:02:47,Click,Amsterdam,Washington
2.02E+18,0:06:47,Click,Golfo di Marinella,Isuledda
2.02E+18,0:02:54,Click,Baja Sardinia,Golfo di Arzachena
2.02E+18,0:00:12,Click,Porto Rotondo,Citti
2.02E+18,0:05:48,Search,Algarve,
2.02E+18,0:04:36,Search,Algarve,
2.02E+18,0:04:59,Search,Algarve,
2.02E+18,0:00:07,Search,Algarve,
2.02E+18,0:01:45,Click,Algarve,Luar
2.02E+18,0:02:23,Click,Florence,Plus Florence
2.02E+18,0:00:26,Click,Florence,Cosmopolitan
2.02E+18,0:01:47,Click,Florence,Villa Ambrosina
2.02E+18,0:02:36,Click,Florence,Tre Gigli Firenze
2.02E+18,0:06:49,Click,Rome,Victoria Roma
2.02E+18,0:00:39,Click,Rome,Relais Maddalena
2.02E+18,0:03:08,Click,Rome,Residenza Bourbon 
2.02E+18,0:00:11,Search,Wörthersee,
2.02E+18,0:02:36,Click,Wörthersee,Haus Fischer
2.02E+18,0:00:08,Search,Wörthersee,
2.02E+18,0:01:35,Search,Wörthersee,
2.02E+18,0:00:31,Search,Wörthersee,
2.02E+18,0:29:24,Click,Paris,Alfa Nation
2.02E+18,0:00:58,Click,Paris,Appartement Chaillot
2.02E+18,0:28:26,Click,Paris,Appartement Chaillot
2.02E+18,0:10:42,Click,Paris,Appartement Chaillot
2.02E+18,0:27:42,Click,Paris,Appartement Chaillot
2.02E+18,0:28:54,Click,Paris,Appartement Chaillot
2.02E+18,0:30:16,Click,Paris,Paris Villette
2.02E+18,0:00:07,Homepage,,
2.02E+18,0:21:46,Click,Paris,Appartement Chaillot
2.02E+18,0:01:19,Click,Imerovigli,Abrazo 8 Villas
2.02E+18,0:00:21,Click,Imerovigli,Villa Lukas Traditional Apartments
2.02E+18,0:02:17,Click,Imerovigli,On the Rocks
2.02E+18,0:00:19,Click,Kefalonia,Sunshine Studios
2.02E+18,0:05:17,Click,Kefalonia,Kefalonia beach
2.02E+18,0:01:59,Click,Kefalonia,Ionis
2.02E+18,0:00:08,Click,New York City,Royalton
2.02E+18,0:02:40,Click,New York City,Wyndham New Yorker
